Gender,Age,Marital_Status,city_name,PIN,Model_Name,New_Policy_Campaign_Type,Policy_Source,Renewed
Male,21,M,Junagadh,362001,SPLENDOR +,COMP,Dealer,1
Male,40,M,Aligarh,202130,SPLENDOR + HSPPEDRSCFI,SAOD,Dealer,1
Female,25,S,Nagaon,782002,PLEASURE+(PLNRDRLMF),SAOD,Dealer,1
Male,29,S,Panipat,122103,HF DELUXE IBS DRS,COMP,Dealer,1
Male,36,M,Betia,845454,SUPER SPL BS6,SAOD,Dealer,1
Male,23,M,Panipat,132113,HF DELUXE-BS-6,SAOD,Dealer,1
Male,44,M,Bhagalpur,813203,SPLENDOR  + BS6 I3s,SAOD,Dealer,1
Male,66,S,mokama,803302,GLAMOUR BS6 FI DRS,SAOD,Dealer,1
Male,29,M,Warisaliganj,805130,GLAMOUR XTEC,COMP,Dealer,0
Male,39,M,Ambala,123021,PLEASURE + BS6,SAOD,Dealer,0
Male,55,S,Panipat,122101,SPL + BS6 DRSC,SAOD,Dealer,0
Male,54,M,Deoria,274001,HF DELUXE-BS-6,SAOD,Dealer,0
Male,44,M,Rayagada,765017,SPLENDOR +SELF BSIV,COMP,Dealer,0
Male,48,M,ALLAHABAD,211011,PSN-PRO DRCCR BS4,COMP,Dealer,1
Male,41,M,Indore,452020,JUPITER,COMP,Dealer,0
Male,45,M,Morena,456001,HF DELUXE BS6 I3S,SAOD,Dealer,0
Male,29,M,Etah,207001,SPLENDOR PRO NEW C,COMP,Dealer,0
Male,41,,Mangaldoi,784125,Pleasure XTEC BS6,SAOD,CT1TD5,0
Female,38,M,Deoria,274702,HF DELUXE BS6 DRUM SELF CAST,SAOD,Dealer,0
Male,37,M,Muzaffarpur,844127,SPLENDOR  + BS6 I3s,SAOD,Dealer,0
Male,35,M,HISAR,125001,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,0
Male,33,M,Surat,395005,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,0
Male,44,M,MEDCHAL,500036,HF DELUXE DRS CAST(FNDCDR,COMP,Dealer,0
Female,33,M,Bhubaneswar,754004,PLEASURE+ BS6 FI DRS CAST,SAOD,Dealer,1
Male,44,M,Faridabad,121002,Splendor plus DRS C F1,SAOD,Dealer,1
Male,68,M,Panipat,132103,SPLENDOR +SELF BSIV,COMP,Dealer,1
Female,24,M,Rajkot,360002,ACCESS SPL EDN (DISC),SAOD,Dealer,1
Male,28,M,Porbandar,360575,SPPDIRSCC(SP+13S IBS),COMP,Dealer,1
Male,33,,Fatehpur,216221,Splendor + I3S DRSC FI,SAOD,CT2plus1,1
